# Data Source: https://www.kaggle.com/kimjihoo/coronavirusdataset/data?select=TimeProvince.csv 
# Data provenience: Korea Centers for Disease Control & Prevention 
# License: CC BY-NC-SA 4.0 
"time"	"cases"	"deaths"	"hospitalized"	"icu"	"recovered"
"2020-01-20"	0	0	NA	NA	0
"2020-01-21"	0	0	NA	NA	0
"2020-01-22"	0	0	NA	NA	0
"2020-01-23"	0	0	NA	NA	0
"2020-01-24"	0	0	NA	NA	0
"2020-01-25"	0	0	NA	NA	0
"2020-01-26"	0	0	NA	NA	0
"2020-01-27"	0	0	NA	NA	0
"2020-01-28"	0	0	NA	NA	0
"2020-01-29"	0	0	NA	NA	0
"2020-01-30"	0	0	NA	NA	0
"2020-01-31"	0	0	NA	NA	0
"2020-02-01"	0	0	NA	NA	0
"2020-02-02"	0	0	NA	NA	0
"2020-02-03"	0	0	NA	NA	0
"2020-02-04"	0	0	NA	NA	0
"2020-02-05"	0	0	NA	NA	0
"2020-02-06"	0	0	NA	NA	0
"2020-02-07"	0	0	NA	NA	0
"2020-02-08"	0	0	NA	NA	0
"2020-02-09"	0	0	NA	NA	0
"2020-02-10"	0	0	NA	NA	0
"2020-02-11"	0	0	NA	NA	0
"2020-02-12"	0	0	NA	NA	0
"2020-02-13"	0	0	NA	NA	0
"2020-02-14"	0	0	NA	NA	0
"2020-02-15"	0	0	NA	NA	0
"2020-02-16"	0	0	NA	NA	0
"2020-02-17"	0	0	NA	NA	0
"2020-02-18"	0	0	NA	NA	0
"2020-02-19"	0	0	NA	NA	0
"2020-02-20"	0	0	NA	NA	0
"2020-02-21"	1	0	NA	NA	0
"2020-02-22"	1	0	NA	NA	0
"2020-02-23"	1	0	NA	NA	0
"2020-02-24"	1	0	NA	NA	0
"2020-02-25"	2	0	NA	NA	0
"2020-02-26"	3	0	NA	NA	0
"2020-02-27"	12	0	NA	NA	0
"2020-02-28"	35	0	NA	NA	0
"2020-02-29"	55	0	NA	NA	0
"2020-03-01"	68	0	NA	NA	0
"2020-03-02"	78	0	NA	NA	0
"2020-03-03"	81	0	NA	NA	0
"2020-03-04"	82	0	NA	NA	0
"2020-03-05"	86	0	NA	NA	0
"2020-03-06"	90	0	NA	NA	0
"2020-03-07"	92	0	NA	NA	0
"2020-03-08"	98	0	NA	NA	0
"2020-03-09"	102	0	NA	NA	1
"2020-03-10"	104	0	NA	NA	1
"2020-03-11"	112	0	NA	NA	1
"2020-03-12"	114	0	NA	NA	5
"2020-03-13"	115	0	NA	NA	7
"2020-03-14"	115	0	NA	NA	9
"2020-03-15"	115	0	NA	NA	10
"2020-03-16"	115	0	NA	NA	12
"2020-03-17"	115	0	NA	NA	15
"2020-03-18"	118	0	NA	NA	16
"2020-03-19"	118	0	NA	NA	31
"2020-03-20"	119	0	NA	NA	32
"2020-03-21"	119	0	NA	NA	39
"2020-03-22"	120	0	NA	NA	39
"2020-03-23"	120	0	NA	NA	44
"2020-03-24"	120	0	NA	NA	56
"2020-03-25"	123	0	NA	NA	65
"2020-03-26"	124	0	NA	NA	68
"2020-03-27"	124	0	NA	NA	78
"2020-03-28"	126	0	NA	NA	81
"2020-03-29"	127	0	NA	NA	83
"2020-03-30"	127	0	NA	NA	83
"2020-03-31"	128	0	NA	NA	90
"2020-04-01"	131	0	NA	NA	91
"2020-04-02"	133	0	NA	NA	95
"2020-04-03"	134	0	NA	NA	97
"2020-04-04"	135	0	NA	NA	102
"2020-04-05"	135	0	NA	NA	102
"2020-04-06"	136	0	NA	NA	102
"2020-04-07"	137	0	NA	NA	104
"2020-04-08"	137	0	NA	NA	106
"2020-04-09"	138	0	NA	NA	105
"2020-04-10"	138	0	NA	NA	105
"2020-04-11"	138	0	NA	NA	106
"2020-04-12"	139	0	NA	NA	108
"2020-04-13"	139	0	NA	NA	109
"2020-04-14"	139	0	NA	NA	113
"2020-04-15"	139	0	NA	NA	114
"2020-04-16"	139	0	NA	NA	115
"2020-04-17"	139	0	NA	NA	115
"2020-04-18"	141	0	NA	NA	119
"2020-04-19"	141	0	NA	NA	122
"2020-04-20"	141	0	NA	NA	122
"2020-04-21"	141	0	NA	NA	123
"2020-04-22"	141	0	NA	NA	122
"2020-04-23"	141	0	NA	NA	123
"2020-04-24"	141	0	NA	NA	123
"2020-04-25"	141	0	NA	NA	123
"2020-04-26"	141	0	NA	NA	123
"2020-04-27"	142	0	NA	NA	123
"2020-04-28"	142	0	NA	NA	123
"2020-04-29"	143	0	NA	NA	123
"2020-04-30"	143	0	NA	NA	127
"2020-05-01"	143	0	NA	NA	128
"2020-05-02"	143	0	NA	NA	128
"2020-05-03"	143	0	NA	NA	128
"2020-05-04"	143	0	NA	NA	128
"2020-05-05"	143	0	NA	NA	128
"2020-05-06"	143	0	NA	NA	128
"2020-05-07"	143	0	NA	NA	128
