# Data Source: https://www.kaggle.com/kimjihoo/coronavirusdataset/data?select=TimeProvince.csv 
# Data provenience: Korea Centers for Disease Control & Prevention 
# License: CC BY-NC-SA 4.0 
"time"	"cases"	"deaths"	"hospitalized"	"icu"	"recovered"
"2020-01-20"	1	0	NA	NA	0
"2020-01-21"	1	0	NA	NA	0
"2020-01-22"	1	0	NA	NA	0
"2020-01-23"	1	0	NA	NA	0
"2020-01-24"	1	0	NA	NA	0
"2020-01-25"	1	0	NA	NA	0
"2020-01-26"	1	0	NA	NA	0
"2020-01-27"	1	0	NA	NA	0
"2020-01-28"	1	0	NA	NA	0
"2020-01-29"	1	0	NA	NA	0
"2020-01-30"	1	0	NA	NA	0
"2020-01-31"	1	0	NA	NA	0
"2020-02-01"	1	0	NA	NA	0
"2020-02-02"	1	0	NA	NA	0
"2020-02-03"	1	0	NA	NA	0
"2020-02-04"	1	0	NA	NA	0
"2020-02-05"	1	0	NA	NA	0
"2020-02-06"	1	0	NA	NA	1
"2020-02-07"	1	0	NA	NA	1
"2020-02-08"	1	0	NA	NA	1
"2020-02-09"	1	0	NA	NA	1
"2020-02-10"	1	0	NA	NA	1
"2020-02-11"	1	0	NA	NA	1
"2020-02-12"	1	0	NA	NA	1
"2020-02-13"	1	0	NA	NA	1
"2020-02-14"	1	0	NA	NA	1
"2020-02-15"	1	0	NA	NA	1
"2020-02-16"	1	0	NA	NA	1
"2020-02-17"	1	0	NA	NA	1
"2020-02-18"	1	0	NA	NA	1
"2020-02-19"	2	0	NA	NA	1
"2020-02-20"	2	0	NA	NA	1
"2020-02-21"	2	0	NA	NA	1
"2020-02-22"	2	0	NA	NA	1
"2020-02-23"	2	0	NA	NA	1
"2020-02-24"	2	0	NA	NA	1
"2020-02-25"	2	0	NA	NA	1
"2020-02-26"	3	0	NA	NA	1
"2020-02-27"	3	0	NA	NA	1
"2020-02-28"	4	0	NA	NA	1
"2020-02-29"	6	0	NA	NA	1
"2020-03-01"	6	0	NA	NA	1
"2020-03-02"	7	0	NA	NA	1
"2020-03-03"	7	0	NA	NA	1
"2020-03-04"	9	0	NA	NA	2
"2020-03-05"	9	0	NA	NA	2
"2020-03-06"	9	0	NA	NA	2
"2020-03-07"	9	0	NA	NA	2
"2020-03-08"	9	0	NA	NA	2
"2020-03-09"	9	0	NA	NA	2
"2020-03-10"	13	0	NA	NA	3
"2020-03-11"	25	0	NA	NA	3
"2020-03-12"	25	0	NA	NA	4
"2020-03-13"	27	0	NA	NA	4
"2020-03-14"	28	0	NA	NA	4
"2020-03-15"	30	0	NA	NA	4
"2020-03-16"	30	0	NA	NA	4
"2020-03-17"	31	0	NA	NA	5
"2020-03-18"	32	0	NA	NA	5
"2020-03-19"	32	0	NA	NA	6
"2020-03-20"	36	0	NA	NA	7
"2020-03-21"	40	0	NA	NA	7
"2020-03-22"	40	0	NA	NA	8
"2020-03-23"	40	0	NA	NA	8
"2020-03-24"	41	0	NA	NA	8
"2020-03-25"	42	0	NA	NA	10
"2020-03-26"	43	0	NA	NA	11
"2020-03-27"	46	0	NA	NA	13
"2020-03-28"	51	0	NA	NA	14
"2020-03-29"	58	0	NA	NA	15
"2020-03-30"	58	0	NA	NA	15
"2020-03-31"	64	0	NA	NA	16
"2020-04-01"	69	0	NA	NA	19
"2020-04-02"	73	0	NA	NA	20
"2020-04-03"	74	0	NA	NA	21
"2020-04-04"	77	0	NA	NA	22
"2020-04-05"	79	0	NA	NA	25
"2020-04-06"	80	0	NA	NA	27
"2020-04-07"	80	0	NA	NA	27
"2020-04-08"	84	0	NA	NA	27
"2020-04-09"	84	0	NA	NA	31
"2020-04-10"	85	0	NA	NA	34
"2020-04-11"	85	0	NA	NA	35
"2020-04-12"	86	0	NA	NA	38
"2020-04-13"	87	0	NA	NA	39
"2020-04-14"	88	0	NA	NA	42
"2020-04-15"	88	0	NA	NA	48
"2020-04-16"	88	0	NA	NA	51
"2020-04-17"	89	0	NA	NA	51
"2020-04-18"	90	0	NA	NA	55
"2020-04-19"	91	0	NA	NA	55
"2020-04-20"	92	0	NA	NA	56
"2020-04-21"	92	0	NA	NA	56
"2020-04-22"	92	0	NA	NA	57
"2020-04-23"	92	0	NA	NA	56
"2020-04-24"	92	0	NA	NA	54
"2020-04-25"	92	0	NA	NA	55
"2020-04-26"	92	0	NA	NA	57
"2020-04-27"	92	0	NA	NA	58
"2020-04-28"	93	0	NA	NA	63
"2020-04-29"	93	0	NA	NA	66
"2020-04-30"	93	0	NA	NA	68
"2020-05-01"	94	0	NA	NA	69
"2020-05-02"	95	0	NA	NA	70
"2020-05-03"	95	0	NA	NA	72
"2020-05-04"	96	0	NA	NA	72
"2020-05-05"	97	0	NA	NA	71
"2020-05-06"	97	0	NA	NA	72
"2020-05-07"	97	0	NA	NA	72
"2020-05-08"	97	0	NA	NA	75
"2020-05-09"	98	0	NA	NA	78
"2020-05-10"	101	0	NA	NA	80
"2020-05-11"	104	0	NA	NA	82
"2020-05-12"	105	0	NA	NA	82
"2020-05-13"	107	0	NA	NA	86
"2020-05-14"	119	0	NA	NA	85
"2020-05-15"	124	0	NA	NA	85
"2020-05-16"	124	0	NA	NA	85
"2020-05-17"	124	0	NA	NA	85
"2020-05-18"	124	0	NA	NA	86
"2020-05-19"	126	0	NA	NA	87
"2020-05-20"	134	0	NA	NA	88
"2020-05-21"	140	0	NA	NA	89
"2020-05-22"	141	0	NA	NA	90
"2020-05-23"	141	0	NA	NA	91
"2020-05-24"	143	0	NA	NA	92
"2020-05-25"	144	0	NA	NA	92
"2020-05-26"	147	0	NA	NA	93
"2020-05-27"	158	0	NA	NA	93
"2020-05-28"	180	0	NA	NA	93
"2020-05-29"	198	0	NA	NA	93
"2020-05-30"	203	0	NA	NA	94
"2020-05-31"	206	0	NA	NA	94
"2020-06-01"	224	0	NA	NA	98
"2020-06-02"	232	0	NA	NA	98
"2020-06-03"	249	0	NA	NA	98
"2020-06-04"	256	0	NA	NA	105
"2020-06-05"	262	0	NA	NA	107
"2020-06-06"	273	0	NA	NA	110
"2020-06-07"	279	0	NA	NA	118
"2020-06-08"	283	0	NA	NA	118
"2020-06-09"	286	0	NA	NA	121
"2020-06-10"	294	0	NA	NA	127
"2020-06-11"	300	0	NA	NA	136
"2020-06-12"	301	0	NA	NA	140
"2020-06-13"	302	0	NA	NA	141
"2020-06-14"	310	0	NA	NA	147
"2020-06-15"	318	0	NA	NA	149
"2020-06-16"	320	1	NA	NA	152
"2020-06-17"	322	1	NA	NA	152
"2020-06-18"	323	1	NA	NA	158
"2020-06-19"	323	1	NA	NA	161
"2020-06-20"	328	1	NA	NA	165
"2020-06-21"	328	1	NA	NA	167
"2020-06-22"	329	1	NA	NA	169
"2020-06-23"	330	1	NA	NA	170
"2020-06-24"	333	1	NA	NA	174
"2020-06-25"	334	1	NA	NA	182
"2020-06-26"	336	1	NA	NA	231
"2020-06-27"	337	2	NA	NA	250
"2020-06-28"	337	1	NA	NA	264
"2020-06-29"	338	1	NA	NA	284
"2020-06-30"	341	1	NA	NA	290
